mag_u,mag_g,mag_r,mag_i,mag_z,redshift
22.427,21.669,19.635,18.767,18.379,0.4741
21.625,21.571,20.181,19.404,19.327,0.6477
23.508,22.023,20.785,19.942,19.556,0.4236
26.304,23.066,20.689,19.519,19.095,0.6405
22.491,21.970,20.131,19.189,18.570,0.4931
21.975,21.611,19.985,19.124,18.470,0.5034
23.011,23.128,20.553,19.342,19.087,0.6077
25.122,22.568,21.299,20.392,20.211,0.5608
22.529,21.272,19.814,19.079,18.570,0.4229
22.180,21.517,20.244,19.411,19.104,0.6412
24.276,21.960,20.646,19.871,19.707,0.5540
25.352,22.032,20.362,19.361,18.699,0.5858
23.713,22.004,20.370,19.332,19.017,0.5634
23.728,22.406,20.609,19.649,19.159,0.5511
22.302,22.997,20.843,19.859,19.281,0.6393
24.253,22.063,20.795,19.756,19.249,0.5551
24.992,22.472,20.856,19.825,19.296,0.5552
22.558,21.582,20.226,19.369,18.939,0.5544
26.392,22.870,20.816,19.509,19.137,0.6077
22.762,21.883,20.434,19.379,19.177,0.5597
24.201,21.943,20.311,19.483,19.108,0.5027
25.038,22.050,20.725,19.786,19.373,0.4232
23.304,22.315,20.526,19.659,19.321,0.4961
24.726,22.364,20.602,19.409,18.881,0.6198
26.947,23.437,20.808,19.853,19.484,0.6005
23.950,21.866,20.273,19.499,19.024,0.4897
25.071,22.365,20.480,19.586,19.222,0.5477
24.281,22.720,21.095,20.021,19.660,0.6075
21.340,21.930,20.477,19.605,19.475,0.5058
23.118,22.012,20.149,19.287,18.900,0.4624
26.348,21.748,20.354,19.543,18.977,0.4893
21.428,21.693,20.390,19.563,18.976,0.5439
22.120,21.467,20.165,19.247,18.769,0.5695
22.051,21.720,20.667,19.513,19.461,0.5931
26.663,22.433,20.383,19.509,18.958,0.5072
23.442,22.259,20.482,19.699,19.054,0.5086
26.046,21.664,20.352,19.495,18.905,0.4904
22.840,22.416,20.722,19.937,19.574,0.3961
25.284,22.624,20.879,19.742,19.196,0.5997
22.150,22.270,20.523,19.699,19.206,0.4398
22.868,21.853,20.529,19.691,19.282,0.5990
22.170,21.804,20.324,19.410,18.994,0.3770
23.594,22.197,20.575,19.695,19.245,0.4948
23.640,21.926,20.610,19.765,19.327,0.4805
25.066,22.421,20.913,19.778,19.333,0.5127
24.385,22.328,21.154,20.111,19.519,0.6359
22.801,22.329,20.601,19.700,19.194,0.5439
22.869,22.750,20.721,19.420,18.886,0.5937
25.791,21.348,19.816,18.916,18.578,0.4782
22.104,22.337,20.632,19.871,19.488,0.4885
25.469,22.332,20.652,19.544,19.048,0.5979
22.891,22.495,20.934,20.037,19.746,0.5873
23.964,21.800,20.343,19.580,18.975,0.5117
25.763,22.172,20.761,19.833,19.534,0.6126
